time_iso8601,stars_cumulative
2019-09-15 00:00:00+00:00,415
2019-09-16 00:00:00+00:00,416
2019-09-17 00:00:00+00:00,417
2019-09-18 00:00:00+00:00,419
2019-09-19 00:00:00+00:00,420
2019-09-20 00:00:00+00:00,421
2019-09-24 00:00:00+00:00,422
2019-09-26 00:00:00+00:00,423
2019-09-27 00:00:00+00:00,424
2019-09-29 00:00:00+00:00,425
2019-10-08 00:00:00+00:00,427
2019-10-09 00:00:00+00:00,429
2019-10-11 00:00:00+00:00,430
2019-10-15 00:00:00+00:00,431
2019-10-18 00:00:00+00:00,433
2019-10-21 00:00:00+00:00,434
2019-10-24 00:00:00+00:00,435
2019-10-26 00:00:00+00:00,438
2019-10-28 00:00:00+00:00,441
2019-10-29 00:00:00+00:00,442
2019-11-01 00:00:00+00:00,443
2019-11-02 00:00:00+00:00,445
2019-11-05 00:00:00+00:00,446
2019-11-11 00:00:00+00:00,447
2019-11-18 00:00:00+00:00,448
2019-11-21 00:00:00+00:00,449
2019-11-22 00:00:00+00:00,450
2019-11-23 00:00:00+00:00,451
2019-11-25 00:00:00+00:00,452
2019-11-26 00:00:00+00:00,454
2019-11-27 00:00:00+00:00,456
2019-12-01 00:00:00+00:00,459
2019-12-02 00:00:00+00:00,460
2019-12-13 00:00:00+00:00,461
2019-12-14 00:00:00+00:00,462
2019-12-16 00:00:00+00:00,464
2019-12-17 00:00:00+00:00,465
2019-12-18 00:00:00+00:00,467
2019-12-21 00:00:00+00:00,468
2019-12-22 00:00:00+00:00,469
2019-12-23 00:00:00+00:00,470
2019-12-25 00:00:00+00:00,471
2019-12-27 00:00:00+00:00,473
2019-12-30 00:00:00+00:00,474
2020-01-02 00:00:00+00:00,475
2020-01-03 00:00:00+00:00,476
2020-01-06 00:00:00+00:00,477
2020-01-11 00:00:00+00:00,478
2020-01-15 00:00:00+00:00,479
2020-01-20 00:00:00+00:00,480
2020-01-22 00:00:00+00:00,481
2020-01-23 00:00:00+00:00,482
2020-01-25 00:00:00+00:00,483
2020-01-27 00:00:00+00:00,484
2020-01-29 00:00:00+00:00,485
2020-02-03 00:00:00+00:00,486
2020-02-08 00:00:00+00:00,487
2020-02-10 00:00:00+00:00,488
2020-02-13 00:00:00+00:00,489
2020-02-17 00:00:00+00:00,490
2020-02-20 00:00:00+00:00,491
2020-02-21 00:00:00+00:00,492
2020-02-27 00:00:00+00:00,493
2020-02-28 00:00:00+00:00,494
2020-03-07 00:00:00+00:00,495
2020-03-09 00:00:00+00:00,496
2020-03-10 00:00:00+00:00,497
2020-03-13 00:00:00+00:00,499
2020-03-15 00:00:00+00:00,501
